rpm -qa --queryformat "%{name},%{version}-%{release},%{arch}\n" | LANG=C sort
perl-Mozilla-CA,20160104-7.module+el8.3.0+7692+542c56f9,noarch
perl-Net-SSLeay,1.88-1.module+el8.3.0+7674+5fd4be5f,x86_64
perl-PathTools,3.74-1.el8,x86_64
perl-Pod-Escapes,1.07-395.el8,noarch
perl-Pod-Perldoc,3.28-396.el8,noarch
perl-Pod-Simple,3.35-395.el8,noarch
perl-Pod-Usage,1.69-395.el8,noarch
perl-Scalar-List-Utils,1.49-2.el8,x86_64
perl-Socket,2.027-3.el8,x86_64
perl-Storable,3.11-3.el8,x86_64
perl-Sys-CPU,0.61-14.el8,x86_64
perl-Sys-MemInfo,0.99-6.el8,x86_64
perl-Term-ANSIColor,4.06-396.el8,noarch
perl-Term-Cap,1.17-395.el8,noarch
perl-TermReadKey,2.37-7.el8,x86_64
perl-Text-ParseWords,3.30-395.el8,noarch
perl-Text-Tabs+Wrap,2013.0523-395.el8,noarch
perl-Time-Local,1.280-1.el8,noarch
perl-TimeDate,2.30-15.module+el8.3.0+7692+542c56f9,noarch
perl-URI,1.73-3.el8,noarch
perl-Unicode-Normalize,1.25-396.el8,x86_64
perl-constant,1.33-396.el8,noarch
perl-interpreter,5.26.3-416.el8,x86_64
perl-libnet,3.11-3.el8,noarch
perl-libs,5.26.3-416.el8,x86_64
perl-macros,5.26.3-416.el8,x86_64
perl-parent,0.237-1.el8,noarch
perl-podlators,4.11-1.el8,noarch
perl-threads,2.21-2.el8,x86_64
perl-threads-shared,1.58-2.el8,x86_64
pg-rex_operation_tools_script,12.0-1.el8,noarch
pixman,0.38.4-1.el8,x86_64
pkgconf,1.4.2-1.el8,x86_64
pkgconf-m4,1.4.2-1.el8,noarch
pkgconf-pkg-config,1.4.2-1.el8,x86_64
platform-python,3.6.8-31.0.1.el8,x86_64
platform-python-pip,9.0.3-18.el8,noarch
platform-python-setuptools,39.2.0-6.el8,noarch
plymouth,0.9.4-7.20200615git1e36e30.0.1.el8,x86_64
plymouth-core-libs,0.9.4-7.20200615git1e36e30.0.1.el8,x86_64
plymouth-scripts,0.9.4-7.20200615git1e36e30.0.1.el8,x86_64
pm_extra_tools,1.1-1.el8,noarch
policycoreutils,2.9-9.0.1.el8,x86_64
popt,1.16-14.el8,x86_64
postgresql,12.1-2.module+el8.1.1+5522+70e4f29e,x86_64
postgresql-jdbc,42.2.3-3.el8_2,noarch
postgresql-server,12.1-2.module+el8.1.1+5522+70e4f29e,x86_64
powertop,2.12-2.el8,x86_64
procps-ng,3.3.15-3.el8,x86_64
psacct,6.6.3-4.el8,x86_64
psmisc,23.1-5.el8,x86_64
publicsuffix-list-dafsa,20180723-1.el8,noarch
python3-asn1crypto,0.24.0-3.el8,noarch
python3-cffi,1.11.5-5.el8,x86_64
python3-clufter,0.77.1-5.el8,noarch
python3-cryptography,2.3-3.el8,x86_64
python3-dateutil,2.6.1-6.el8,noarch
python3-dnf,4.2.23-4.el8,noarch
python3-dnf-plugins-core,4.0.17-5.el8,noarch
python3-gpg,1.13.1-3.el8,x86_64
python3-hawkey,0.48.0-5.0.1.el8,x86_64
python3-html5lib,0.999999999-6.el8,noarch
